epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.456,1.5306,3.47458,1.24203,0.79037,0.12604,0.26572,0.18587,1.08785,3.6523,0.89348,0.000190842,0.000190842,0.000190842
2,309.985,1.28974,1.95834,1.09014,0.77132,0.23732,0.56961,0.40819,1.02445,2.66696,0.92027,0.000348545,0.000348545,0.000348545
3,459.954,1.23253,1.47379,1.04893,0.6235,0.80633,0.78777,0.53356,1.10052,1.60114,0.9357,0.000467439,0.000467439,0.000467439
4,610.81,1.17104,1.20793,1.04235,0.75397,0.81652,0.87651,0.62874,0.96793,1.27671,0.91901,0.000413364,0.000413364,0.000413364
5,762.717,1.12519,1.05347,1.01744,0.89984,0.90847,0.95579,0.70254,0.95063,1.01838,0.92244,0.000355152,0.000355152,0.000355152
6,914.455,1.10758,0.96792,1.02089,0.93015,0.97467,0.97757,0.727,0.96957,0.88701,0.92599,0.00029694,0.00029694,0.00029694
7,1066.23,1.07666,0.9118,1.00188,0.9538,0.93796,0.97506,0.74213,0.90332,0.84212,0.91621,0.000238728,0.000238728,0.000238728
8,1216.29,1.03455,0.83318,0.99525,0.96071,0.96187,0.98004,0.75204,0.90323,0.79482,0.91048,0.000180516,0.000180516,0.000180516
9,1369.43,1.02021,0.82876,0.98866,0.95763,0.96242,0.98318,0.76937,0.85921,0.75221,0.90271,0.000122304,0.000122304,0.000122304
10,1520.18,0.99133,0.78931,0.97129,0.95591,0.96606,0.98367,0.76498,0.86896,0.74674,0.90058,6.4092e-05,6.4092e-05,6.4092e-05
